课程号,课序号,课程名,开课系所,容量,选课人数,余量,总学时,学分,星期,节次,持续节次,上课地点,上课周次,教师号1,教师名1,教师号2,教师名2,面向学生
00L046T,01,电影音乐艺术,艺教中心,250,221,29,32,2,1,4,2,主校区第五教学楼东阶梯,1-16周,6432,何腾,,,
00L046T,02,电影音乐艺术,艺教中心,250,201,49,32,2,2,1,2,主校区第五教学楼东阶梯,1-16周,6432,何腾,,,
00L051T,01,学业及职业生涯规划与设计,就业办,60,20,40,16,1,2,5,2,主校区逸夫教学楼YF302,1-8周,6023,王烜,,,
00L051T,02,学业及职业生涯规划与设计,就业办,60,16,44,16,1,2,5,2,主校区逸夫教学楼YF403,1-8周,6163,孙慧环,,,
00L051T,03,学业及职业生涯规划与设计,就业办,60,8,52,16,1,2,5,2,主校区思源西楼SX407,1-8周,6283,文映春,,,
00L051T,04,学业及职业生涯规划与设计,就业办,60,40,20,16,1,4,5,2,主校区逸夫教学楼YF309,9-16周,6434,王莹,,,
00L051T,05,学业及职业生涯规划与设计,就业办,60,9,51,16,1,4,5,2,主校区逸夫教学楼YF501,9-16周,7303,刘江涛,,,
00L051T,06,学业及职业生涯规划与设计,就业办,60,6,54,16,1,2,5,2,主校区思源西楼SX507,9-16周,7306,李义明,,,
00L051T,07,学业及职业生涯规划与设计,就业办,60,30,30,16,1,4,5,2,主校区逸夫教学楼YF302,1-8周,7308,周轶峰,,,
00L051T,08,学业及职业生涯规划与设计,就业办,60,4,56,16,1,2,5,2,主校区思源西楼SX406,1-8周,7401,张博,,,
00L051T,09,学业及职业生涯规划与设计,就业办,60,17,43,16,1,2,5,2,主校区思源西楼SX506,9-16周,7491,田永静,,,
00L051T,10,学业及职业生涯规划与设计,就业办,60,60,0,16,1,4,5,2,主校区逸夫教学楼YF403,1-8周,7538,王巍,,,
00L051T,11,学业及职业生涯规划与设计,就业办,60,9,51,16,1,2,5,2,主校区逸夫教学楼YF308,1-8周,7544,祁国梁,,,
00L051T,13,学业及职业生涯规划与设计,就业办,60,5,55,16,1,2,5,2,主校区逸夫教学楼YF208,1-8周,7676,姚俊义,,,
00L051T,15,学业及职业生涯规划与设计,就业办,60,36,24,16,1,4,5,2,主校区逸夫教学楼YF410,9-16周,7788,刘萍,,,
00L051T,17,学业及职业生涯规划与设计,就业办,60,7,53,16,1,2,5,2,主校区逸夫教学楼YF603,1-8周,7920,杨玲,,,
00L051T,18,学业及职业生涯规划与设计,就业办,60,5,55,16,1,2,5,2,主校区逸夫教学楼YF401,9-16周,8206,徐俊,,,
00L051T,19,学业及职业生涯规划与设计,就业办,60,7,53,16,1,2,5,2,主校区逸夫教学楼YF309,9-16周,1440,邵丽,,,
00L051T,20,学业及职业生涯规划与设计,就业办,60,8,52,16,1,2,5,2,主校区逸夫教学楼YF410,9-16周,6420,刘东平,,,
00L052T,02,大学生就业指导,就业办,60,17,43,16,1,2,5,2,主校区逸夫教学楼YF东708,1-8周,339,于亚光,,,
00L052T,03,大学生就业指导,就业办,60,20,40,16,1,4,5,2,主校区逸夫教学楼YF610,1-8周,1077,连会仁,,,
00L052T,04,大学生就业指导,就业办,60,21,39,16,1,2,5,2,主校区逸夫教学楼YF501,1-8周,5601,赵岚,,,
00L052T,05,大学生就业指导,就业办,60,13,47,16,1,2,5,2,主校区逸夫教学楼YF610,1-8周,5860,孙冬梅,,,
00L052T,06,大学生就业指导,就业办,60,6,54,16,1,4,5,2,主校区逸夫教学楼YF东708,1-8周,6160,马强1,,,
00L052T,07,大学生就业指导,就业办,60,16,44,16,1,4,5,2,主校区逸夫教学楼YF601,1-8周,6404,陈劲松,,,
00L052T,08,大学生就业指导,就业办,60,14,46,16,1,4,5,2,主校区逸夫教学楼YF509,1-8周,6656,梁英,,,
00L052T,09,大学生就业指导,就业办,60,6,54,16,1,2,5,2,主校区逸夫教学楼YF509,1-8周,7330,谭洁,,,
00L052T,10,大学生就业指导,就业办,60,2,58,16,1,2,5,2,主校区逸夫教学楼YF601,1-8周,7638,李涛,,,
00L073T,01,古筝演奏基础教学,艺教中心,20,20,0,32,2,1,4,2,主校区体育馆西侧乐团排练厅,1-16周,7921,敖丽,,,
00L073T,02,古筝演奏基础教学,艺教中心,20,20,0,32,2,1,5,2,主校区体育馆西侧乐团排练厅,1-16周,7921,敖丽,,,
00L077T,01,中国民族民间舞欣赏与实践,艺教中心,30,30,0,32,2,4,4,2,主校区体操房,1-16周,6302,刘姗,,,
00L079T,01,民族器乐欣赏,艺教中心,250,250,0,32,2,2,6,2,主校区第五教学楼东阶梯,1-16周,2645,郑彬,,,
00L079T,02,民族器乐欣赏,艺教中心,120,110,10,32,2,1,2,2,主校区天佑会堂音乐教室,1-16周,7921,敖丽,,,
00L088T,01,西方音乐史,艺教中心,100,92,8,32,2,5,4,2,主校区逸夫教学楼YF205,1-16周,tw_ln,刘娜,,,
00L089T,01,小提琴演奏基础,艺教中心,20,20,0,32,2,5,2,2,主校区体育馆西侧乐团排练厅,1-16周,tw_ln,刘娜,,,
00L089T,02,小提琴演奏基础,艺教中心,20,20,0,32,2,3,5,2,主校区体育馆西侧乐团排练厅,1-16周,6428,关英馨,,,
00L090T,01,大学生KAB创业基础,就业办,40,2,38,16,1,4,5,2,主校区逸夫教学楼YF204,1-8周,434,姚念龙,,,
00L090T,02,大学生KAB创业基础,就业办,40,5,35,16,1,4,5,2,主校区逸夫教学楼YF504,1-8周,5887,廖涌泉,,,
00L090T,03,大学生KAB创业基础,就业办,40,6,34,16,1,4,5,2,主校区逸夫教学楼YF304,1-8周,7539,孟盟,,,
00L091T,01,自我塑造与沟通能力,其他部处,60,60,0,16,1,2,6,2,主校区逸夫教学楼YF209,9-16周,2967,高艳,6682,和敬涵 ,
00L092T,01,大学生安全素质概述,其他部处,240,240,0,16,1,3,5,2,主校区思源楼SY107,1-8周,2862,裴劲松,,,
00L092T,02,大学生安全素质概述,其他部处,240,122,118,16,1,3,5,2,主校区思源楼SY108,1-8周,6878,黄宏,,,
